,Code,Genus,Species,Subspecies,Authority / Year
0,BAT1,Areilulus ,circumdatus ,,"(Temminck, 1840)"
1,BAT2,Asellia ,tridens ,,"(E. Geoffroy, 1813)"
2,BAT3,Barbastella ,leucomelas ,,"(Cretzschmar, 1830/31)"
3,BAT4,Coelops ,frithii ,,"Blyth, 1848"
4,BAT5,Cynopterus ,brachyotis ,,"(Muller, 1838)"
5,BAT6,Cynopterus ,sphinx ,,"(Vahl, 1797)"
6,BAT7,Eonycteris ,spelaea ,,"(Dobson, 1871)"
7,BAT9,Eptesicus ,bottae ,,"(Peters, 1869)"
8,BAT10,Eptesicus ,gobiensis ,,"Bobrinskii, 1926"
9,BAT11,Eptesicus ,nasutus ,,"(Dobson, 1877)"
10,BAT12,Eptesicus ,pachyotis ,,"(Dobson, 1871)"
11,BAT13,Eptesicus ,serotinus ,,"(Schreber, 1774)"
12,BAT8,Eptesicus ,tatei ,,"Ellerman & Morrison-Scott, 1951"
13,BAT14,Harpiocephalus ,harpia ,,"(Temminck, 1840)"
14,BAT15,Harpiocephalus ,mordax ,,"(Temminck, 1840)"
15,BAT16,Hesperoptenus ,tickelli ,,"(Blyth, 1851)"
16,BAT21,Hipposideros ,armiger ,,"(Hodgson, 1835)"
17,BAT22,Hipposideros ,ater ,,"Templeton, 1848"
18,BAT23,Hipposideros ,cineraceus ,,"Blyth, 1853"
19,BAT24,Hipposideros ,diadema ,,"(E. Geoffroy, 1813)"
20,BAT17,Hipposideros ,durgadasi ,,"Khajuria, 1970"
21,BAT25,Hipposideros ,fulvus ,,"Gray, 1838"
22,BAT26,Hipposideros ,galeritus ,,"Cantor, 1846"
23,BAT18,Hipposideros ,hypophyllus ,,"Kock & Bhat, 1994"
24,BAT19,Hipposideros ,lankadiva ,,"Kelaart, 1850"
25,BAT27,Hipposideros ,larvatus ,,"(Horsfield, 1823)"
26,BAT28,Hipposideros ,pomona ,,"Andersen, 1918"
27,BAT20,Hipposideros ,speoris ,,"(Schneider, 1800)"
28,BAT32,Ia ,io ,,"Thomas, 1902"
29,BAT29,Kerivoula ,hardwickii ,,"(Horsfield, 1824)"
30,BAT30,Kerivoula ,papillosa ,,"Temminck, 1840"
31,BAT31,Kerivoula ,picta ,,"(Pallas, 1767)"
32,BAT33,Latidens ,salimalii ,,"Thonglongya, 1972"
33,BAT34,Macroglossus ,sobrinus ,,"(K. Andersen, 1911)"
34,BAT35,Megaderma ,lyra ,,"E. Geoffroy, 1810"
35,BAT36,Megaderma ,spasma ,,"(Linnaeus, 1758)"
36,BAT37,Megaerops ,niphanae ,,"Yenbutra & Felten, 1983"
37,BAT38,Miniopterus ,pusillus ,,"Dobson, 1876"
38,BAT39,Miniopterus ,schreibersii ,,"(Kuhl, 1819)"
39,BAT41,Murina ,aurata ,,"Milne-Edwards, 1872"
40,BAT42,Murina ,cyclotis  ,,"Dobson, 1872"
41,BAT40,Murina ,grisea  ,,"Peters, 1872"
42,BAT43,Murina ,huttonii ,,"(Peters, 1872)"
43,BAT44,Murina ,leucogaster ,,"Milne-Edwards, 1872"
44,BAT45,Murina ,tubinaris ,,"(Scully, 1881)"
45,BAT48,Myotis ,annectans ,,"(Dobson, 1871)"
46,BAT49,Myotis ,blythii ,,"(Tomes, 1857)"
47,BAT46,Myotis ,csorbai ,,"Topal, 1997"
48,BAT50,Myotis ,daubentonii ,,"(Kuhl, 1819)"
49,BAT51,Myotis ,formosus ,,"(Hodgson, 1835)"
50,BAT52,Myotis ,hasseltii ,,"(Temminck, 1840)"
51,BAT53,Myotis ,horsfieldii ,,"(Temminck, 1840)"
52,BAT54,Myotis ,longipes ,,"(Dobson, 1873)"
53,BAT55,Myotis ,montivagus ,,"(Dobson, 1874)"
54,BAT56,Myotis ,muricola ,,"(Gray, 1846)"
55,BAT57,Myotis ,mystacinus ,,"(Kuhl, 1819)"
56,BAT47,Myotis ,sicarius ,,"Thomas, 1915"
57,BAT58,Myotis ,siligorensis ,,"(Horsfield, 1855)"
58,BAT59,Nyctalus ,leisleri ,,"(Kuhl, 1819)"
59,BAT60,Nyctalus ,montanus ,,"(Barrett-Hamilton, 1906)"
60,BAT61,Nyctalus ,noctula ,,"(Schreber, 1774)"
61,BAT62,Otomops ,wroughtoni ,,"(Thomas, 1913)"
62,BAT63,Otonycteris ,hemprichii ,,"Peters, 1859"
63,BAT64,Philetor ,brachypterus ,,"(Temminck, 1840)"
64,BAT66,Pipistrellus ,abramus ,,"(Temminck, 1840)"
65,BAT67,Pipistrellus ,affinis ,,"Dobson, 1871"
66,BAT68,Pipistrellus ,cadornae ,,"Thomas, 1916"
67,BAT69,Pipistrellus ,ceylonicus ,,"(Kelaart, 1852)"
68,BAT70,Pipistrellus ,coromandra ,,"(Gray, 1838)"
69,BAT65,Pipistrellus ,dormeri ,,"(Dobson, 1875)"
70,BAT71,Pipistrellus ,javanicus ,,"(Gray, 1838)"
71,BAT72,Pipistrellus ,kuhlii ,,"(Kuhl, 1819)"
72,BAT73,Pipistrellus ,paterculus ,,"Thomas, 1915"
73,BAT74,Pipistrellus ,pipistrellus ,,"(Schreber, 1774)"
74,BAT75,Pipistrellus ,savii ,,"(Bonaparte, 1837)"
75,BAT76,Pipistrellus ,tenuis ,,"(Temminck, 1840)"
76,BAT77,Plecotus ,auritus ,,"Linnaeus, 1758"
77,BAT78,Plecotus ,austriacus ,,"(Fischer, 1829)"
78,BAT79,Pteropus ,faunulus ,,"Miller, 1902"
79,BAT80,Pteropus ,giganteus ,,"Brunnich, 1782"
80,BAT81,Pteropus ,hypomelanus ,,"Temminck, 1853"
81,BAT82,Pteropus ,melanotus ,,"Blyth, 1863"
82,BAT83,Pteropus ,vampyrus ,,"(Linnaeus, 1758)"
83,BAT88,Rhinolophus ,affinis ,,"Horsfield, 1823"
84,BAT84,Rhinolophus ,beddomei ,,"Andersen, 1905"
85,BAT89,Rhinolophus ,blasii  ,,"Peters,1866"
86,BAT85,Rhinolophus ,cognatus ,,"Andersen, 1906"
87,BAT86,Rhinolophus ,ferrumequinum ,,"Schreber, 1774"
88,BAT90,Rhinolophus ,hipposideros ,,"(Bechstein, 1800)"
89,BAT91,Rhinolophus ,lepidus ,,"Blyth, 1844"
90,BAT92,Rhinolophus ,luctus ,,"Temminck, 1835"
91,BAT93,Rhinolophus ,macrotis ,,"Blyth, 1844"
92,BAT87,Rhinolophus ,mitratus ,,"Blyth, 1844"
93,BAT94,Rhinolophus ,pearsonii ,,"Horsfield, 1851"
94,BAT95,Rhinolophus ,pusillus ,,"Temminck, 1834"
95,BAT96,Rhinolophus ,rouxii ,,"Temminck, 1835"
96,BAT97,Rhinolophus ,sinicus ,,"(Andersen, 1905)"
97,BAT98,Rhinolophus ,subbadius ,,"Blyth, 1844"
98,BAT99,Rhinolophus ,trifoliatus ,,"Temminck, 1834"
99,BAT100,Rhinolophus ,yunanensis ,,"Dobson, 1872"
100,BAT101,Rhinopoma ,hardwickii ,,"Gray, 1831"
101,BAT102,Rhinopoma ,microphyllum ,,"(Brünnich, 1782)"
102,BAT103,Rhinopoma ,muscatellum ,,"Thomas, 1903"
103,BAT104,Rousettus ,aegyptiacus ,,"(E. Geoffroy, 1810)"
104,BAT105,Rousettus ,leschenaulti ,,"(Desmarest, 1820)"
105,BAT106,Scotoecus ,pallidus ,,"(Dobson, 1876)"
106,BAT107,Scotomanes ,ornatus ,,"(Blyth, 1851)"
107,BAT108,Scotophilus ,heathii ,,"Horsfield, 1831"
108,BAT109,Scotophilus ,kuhlii ,,"Leach, 1821"
109,BAT110,Sphaerias ,blanfordi ,,"(Thomas, 1891)"
110,BAT111,Tadarida ,aegyptiaca ,,"(E. Geoffroy, 1818)"
111,BAT112,Tadarida ,plicata ,,"(Buchanan, 1800)"
112,BAT113,Tadarida ,teniotis ,,"(Rafinesque, 1814)"
113,BAT115,Taphozous ,longimanus ,,"Hardwicke, 1825"
114,BAT116,Taphozous ,melanopogon ,,"Temminck, 1841"
115,BAT117,Taphozous ,nudiventris ,,"Cretzschmer, 1830"
116,BAT114,Taphozous ,perforatus ,,"E. Geoffroy, 1818"
117,BAT119,Taphozous ,saccolaimus ,,"Temminck, 1838"
118,BAT120,Taphozous ,theobaldi ,,"Dobson, 1872"
119,BAT118,Triaenops ,persicus ,,"Dobson, 1871"
120,BAT121,Tylonycteris ,pachypus ,,"Temminck, 1840"
121,BAT122,Tylonycteris ,robustula ,,"Thomas, 1915"
122,BAT123,Vespertilio ,murinus ,,"Linnaeus, 1758"